City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Burgeo,CA,2022-06-04 22:48:21,47.6167,-57.6152,49.82,76,96,0.83
1,Port Elizabeth,ZA,2022-06-04 22:48:22,-33.918,25.5701,61.11,93,100,13.8
2,Opuwo,NA,2022-06-04 22:44:09,-18.0607,13.84,56.32,40,13,8.28
3,Tonantins,BR,2022-06-04 22:48:22,-2.8731,-67.8022,71.56,99,100,0.94
4,Te Anau,NZ,2022-06-04 22:48:23,-45.4167,167.7167,44.85,88,100,4.85
5,Aripuana,BR,2022-06-04 22:48:24,-9.1667,-60.6333,82.58,50,78,0.74
6,Luderitz,NA,2022-06-04 22:48:24,-26.6481,15.1594,64.36,41,0,5.53
7,Hilo,US,2022-06-04 22:48:24,19.7297,-155.09,89.28,90,100,9.22
8,Tuktoyaktuk,CA,2022-06-04 22:48:25,69.4541,-133.0374,26.6,80,100,11.5
9,Svetlaya,RU,2022-06-04 22:48:25,46.5389,138.3297,47.91,63,11,7.65
10,Rafai,CF,2022-06-04 22:48:26,4.95,23.9167,67.46,99,78,2.53
11,Rikitea,PF,2022-06-04 22:48:26,-23.1203,-134.9692,72.19,80,100,9.48
12,Arraial Do Cabo,BR,2022-06-04 22:48:27,-22.9661,-42.0278,68.22,64,100,10.02
13,Nicoya,CR,2022-06-04 22:48:27,10.1483,-85.452,79.97,82,86,4.47
14,Ribeira Grande,PT,2022-06-04 22:48:27,38.5167,-28.7,64.4,94,82,10.6
15,Busselton,AU,2022-06-04 22:48:28,-33.65,115.3333,55.13,84,94,7.49
16,Tasiilaq,GL,2022-06-04 22:48:28,65.6145,-37.6368,37.56,68,40,6.96
17,Bluff,NZ,2022-06-04 22:48:29,-46.6,168.3333,47.8,65,100,12.66
18,Brokopondo,SR,2022-06-04 22:48:29,4.75,-55.1667,77.31,87,60,6.55
19,New Norfolk,AU,2022-06-04 22:48:30,-42.7826,147.0587,47.7,89,95,2.44
20,Sarab,IR,2022-06-04 22:48:30,38.6066,44.9883,65.77,57,1,0.87
21,Barrow,US,2022-06-04 22:48:31,71.2906,-156.7887,28.42,86,100,26.46
22,Kavieng,PG,2022-06-04 22:48:32,-2.5744,150.7967,83.43,65,65,7.43
23,Pisco,PE,2022-06-04 22:48:32,-13.7,-76.2167,66.25,77,0,16.11
24,Cidreira,BR,2022-06-04 22:48:32,-30.1811,-50.2056,62.38,81,4,19.24
25,Hithadhoo,MV,2022-06-04 22:48:33,-0.6,73.0833,83.12,70,90,8.32
26,Nishihara,JP,2022-06-04 22:48:33,26.1842,127.7558,80.65,97,75,9.22
27,La Libertad,EC,2022-06-04 22:48:34,-2.2333,-80.9,73.06,78,75,9.22
28,Puerto Ayora,EC,2022-06-04 22:48:34,-0.7393,-90.3518,76.96,87,92,9.64
29,Yola,NG,2022-06-04 22:46:07,9.2,12.4833,73.76,84,100,3.67
30,Kavaratti,IN,2022-06-04 22:48:35,10.5669,72.642,82.62,78,95,11.68
31,Komatipoort,ZA,2022-06-04 22:48:35,-25.4332,31.9548,57.06,89,0,2.91
32,Khatanga,RU,2022-06-04 22:48:36,71.9667,102.5,27.41,89,100,14.36
33,Klaksvik,FO,2022-06-04 22:48:36,62.2266,-6.589,47.32,92,100,4.0
34,Ushuaia,AR,2022-06-04 22:48:36,-54.8,-68.3,37.06,60,20,9.22
35,Norman Wells,CA,2022-06-04 22:48:37,65.282,-126.8329,48.24,71,100,13.8
36,Nikolskoye,RU,2022-06-04 22:48:37,59.7035,30.7861,52.81,98,34,5.01
37,Saskylakh,RU,2022-06-04 22:48:38,71.9167,114.0833,33.06,91,99,4.41
38,Clyde River,CA,2022-06-04 22:47:03,70.4692,-68.5914,30.43,100,100,10.36
39,Butaritari,KI,2022-06-04 22:48:38,3.0707,172.7902,80.96,71,90,9.06
40,Ust-Kuyga,RU,2022-06-04 22:48:39,70.0167,135.6,68.67,47,88,2.98
41,Alfredo Chaves,BR,2022-06-04 22:48:39,-20.635,-40.7497,65.12,94,100,4.36
42,Caravelas,BR,2022-06-04 22:48:39,-17.7125,-39.2481,74.17,67,91,13.47
43,Alofi,NU,2022-06-04 22:48:40,-19.0595,-169.9187,82.29,78,8,10.36
44,Bacolod,PH,2022-06-04 22:48:40,10.6667,122.95,80.58,79,100,2.24
45,Beringovskiy,RU,2022-06-04 22:49:41,63.05,179.3167,39.04,81,37,4.38
46,Mar Del Plata,AR,2022-06-04 22:49:20,-38.0023,-57.5575,55.09,79,0,4.61
47,Mataura,NZ,2022-06-04 22:49:42,-46.1927,168.8643,47.48,70,100,5.06
48,Namibe,AO,2022-06-04 22:49:42,-15.1961,12.1522,74.89,45,52,5.7
49,Port Alfred,ZA,2022-06-04 22:49:43,-33.5906,26.891,59.18,86,100,4.0
50,Geraldton,AU,2022-06-04 22:49:43,-28.7667,114.6,48.61,71,100,10.36
51,Katobu,ID,2022-06-04 22:49:44,-4.9408,122.5276,75.96,91,71,2.64
52,Zaysan,KZ,2022-06-04 22:49:44,47.4667,84.8667,54.28,64,43,6.98
53,Lompoc,US,2022-06-04 22:49:45,34.6391,-120.4579,80.69,65,0,21.99
54,Baykit,RU,2022-06-04 22:49:45,61.67,96.37,37.96,83,33,1.95
55,Parabel,RU,2022-06-04 22:49:46,58.6978,81.4825,34.63,98,100,7.09
56,Jamestown,US,2022-06-04 22:46:10,42.097,-79.2353,64.04,29,0,8.05
57,Cockburn Town,TC,2022-06-04 22:49:46,21.4612,-71.1419,82.36,74,40,11.5
58,Huarmey,PE,2022-06-04 22:49:47,-10.0681,-78.1522,67.51,80,99,9.44
59,Ngunguru,NZ,2022-06-04 22:49:47,-35.6167,174.5,62.13,67,100,11.52
60,Hobart,AU,2022-06-04 22:46:49,-42.8794,147.3294,48.06,91,75,10.36
61,Todos Santos,MX,2022-06-04 22:49:47,23.45,-110.2167,73.53,61,0,8.39
62,Qaanaaq,GL,2022-06-04 22:49:48,77.484,-69.3632,28.17,81,96,2.91
63,Kapaa,US,2022-06-04 22:49:48,22.0752,-159.319,82.11,67,0,10.36
64,Sabalgarh,IN,2022-06-04 22:49:49,26.25,77.4,93.94,16,34,9.31
65,Fairhope,US,2022-06-04 22:49:49,30.523,-87.9033,91.87,51,75,6.91
66,Thinadhoo,MV,2022-06-04 22:49:50,0.5333,72.9333,83.43,71,64,10.4
67,Jobat,IN,2022-06-04 22:49:50,22.4167,74.5667,82.09,58,43,12.3
68,Esqueda,MX,2022-06-04 22:49:51,30.7167,-109.5833,92.37,13,4,23.02
69,Yellowknife,CA,2022-06-04 22:49:51,62.456,-114.3525,73.92,21,20,17.27
70,Mogadouro,PT,2022-06-04 22:49:51,41.3403,-6.7119,53.82,83,25,3.4
71,Acari,PE,2022-06-04 22:49:52,-15.4311,-74.6158,70.21,68,100,3.4
72,Axim,GH,2022-06-04 22:49:52,4.8699,-2.2405,78.78,86,100,7.0
73,Kanniyakumari,IN,2022-06-04 22:49:53,8.0833,77.5667,79.52,87,96,16.84
74,Albany,US,2022-06-04 22:48:55,42.6001,-73.9662,72.01,49,23,10.96
75,Dahuk,IQ,2022-06-04 22:49:53,36.8695,42.994,81.07,20,31,5.97
76,Douglas,US,2022-06-04 22:49:54,41.3,-96.167,79.39,53,40,12.66
77,Kaitangata,NZ,2022-06-04 22:49:54,-46.2817,169.8464,46.15,64,79,7.58
78,Chuy,UY,2022-06-04 22:49:55,-33.6971,-53.4616,53.83,82,100,8.86
79,San Antonio,US,2022-06-04 22:49:55,29.4241,-98.4936,100.53,35,20,5.75
80,Koumac,NC,2022-06-04 22:49:56,-20.5667,164.2833,77.32,65,6,4.63
81,Bolshaya Dzhalga,RU,2022-06-04 22:49:56,45.9695,42.6966,67.98,45,29,6.98
82,Chokurdakh,RU,2022-06-04 22:49:57,70.6333,147.9167,52.92,35,100,13.44
83,Saint-Philippe,RE,2022-06-04 22:49:57,-21.3585,55.7679,72.99,78,46,13.94
84,Ponta Do Sol,PT,2022-06-04 22:49:57,32.6667,-17.1,66.83,71,16,4.5
85,Krasnyy Chikoy,RU,2022-06-04 22:49:58,50.3643,108.7512,50.79,96,100,2.39
86,Vaini,TO,2022-06-04 22:49:58,-21.2,-175.2,78.96,83,40,8.05
87,Sorong,ID,2022-06-04 22:49:59,-0.8833,131.25,78.17,84,100,6.85
88,Sakaiminato,JP,2022-06-04 22:49:59,35.55,133.2333,66.18,82,75,11.5
89,Vardo,NO,2022-06-04 22:51:00,70.3705,31.1107,44.58,100,100,11.5
90,Atuona,PF,2022-06-04 22:51:01,-9.8,-139.0333,78.31,73,30,14.97
91,Yanam,IN,2022-06-04 22:51:01,16.7333,82.2167,81.84,90,92,4.74
92,Cape Town,ZA,2022-06-04 22:48:10,-33.9258,18.4232,61.21,85,0,14.97
93,Santa Maria,BR,2022-06-04 22:51:01,-29.6842,-53.8069,58.3,77,75,4.61
94,Livingstonia,MW,2022-06-04 22:51:02,-10.606,34.1063,56.23,80,8,4.23
95,Hermanus,ZA,2022-06-04 22:51:02,-34.4187,19.2345,58.8,81,100,13.02
96,Kalianget,ID,2022-06-04 22:51:03,-7.05,113.9333,80.71,80,57,8.75
97,Itoman,JP,2022-06-04 22:51:03,26.1247,127.6694,81.37,96,75,9.22
98,Tangwani,PK,2022-06-04 22:51:03,28.2787,68.9972,87.89,30,0,3.76
99,Waw,SS,2022-06-04 22:51:04,7.7029,27.9953,78.06,60,79,4.76
100,Port Hardy,CA,2022-06-04 22:51:04,50.6996,-127.4199,55.58,94,100,13.8
101,Dingle,PH,2022-06-04 22:51:04,10.9995,122.6711,79.14,82,100,3.02
102,San Quintin,MX,2022-06-04 22:51:05,30.4833,-115.95,67.1,69,23,17.96
103,Misratah,LY,2022-06-04 22:47:58,32.3754,15.0925,75.6,68,4,4.32
104,Vigrestad,NO,2022-06-04 22:51:05,58.5667,5.7,48.58,87,22,15.35
105,Balakirevo,RU,2022-06-04 22:51:06,56.5059,38.8432,50.68,89,70,5.37
106,Tiksi,RU,2022-06-04 22:51:06,71.6872,128.8694,52.2,75,100,8.61
107,Punta Arenas,CL,2022-06-04 22:51:07,-53.15,-70.9167,41.11,70,40,21.85
108,Maholi,IN,2022-06-04 22:51:07,27.6667,80.4667,89.2,10,66,5.84
109,Torbay,CA,2022-06-04 22:51:07,47.6666,-52.7314,48.27,76,75,10.36
110,Sibiti,CG,2022-06-04 22:51:08,-3.6819,13.3499,69.44,74,82,1.05
111,Cayenne,GF,2022-06-04 22:51:08,4.9333,-52.3333,80.64,1,20,5.75
112,Cedar City,US,2022-06-04 22:46:56,37.6775,-113.0619,75.4,17,0,20.71
113,Purpe,RU,2022-06-04 22:51:09,64.4803,76.6897,33.28,94,86,15.08
114,Ugoofaaru,MV,2022-06-04 22:51:10,5.6667,73.0,82.17,78,40,14.36
115,Lebu,CL,2022-06-04 22:51:10,-37.6167,-73.65,51.48,94,100,6.67
116,Basco,PH,2022-06-04 22:51:11,20.4487,121.9702,84.02,78,99,17.52
117,Castro,BR,2022-06-04 22:51:11,-24.7911,-50.0119,51.89,94,73,5.99
118,Danilov,RU,2022-06-04 22:51:11,58.1908,40.1717,47.48,97,86,4.74
119,Petropavlovsk-Kamchatskiy,RU,2022-06-04 22:51:12,53.0452,158.6483,64.99,37,0,4.47
120,Bredasdorp,ZA,2022-06-04 22:51:12,-34.5322,20.0403,55.92,81,100,5.5
121,Santa Rosalia,MX,2022-06-04 22:51:13,27.3167,-112.2833,87.75,34,1,0.43
122,Codrington,AU,2022-06-04 22:51:13,-38.2667,141.9667,46.04,84,58,15.35
123,Lorengau,PG,2022-06-04 22:51:14,-2.0226,147.2712,83.35,65,39,6.29
124,Synya,RU,2022-06-04 22:51:14,65.3718,58.0387,42.39,54,4,2.33
125,Padang,ID,2022-06-04 22:51:14,-0.9492,100.3543,75.25,85,89,3.67
126,Ilulissat,GL,2022-06-04 22:51:15,69.2167,-51.1,38.77,63,62,5.57
127,Anticala,PH,2022-06-04 22:51:15,9.0044,125.6453,78.69,89,99,2.66
128,Mahebourg,MU,2022-06-04 22:51:16,-20.4081,57.7,71.89,78,40,16.11
129,Cabo San Lucas,MX,2022-06-04 22:48:12,22.8909,-109.9124,84.61,62,1,14.45
130,East London,ZA,2022-06-04 22:49:51,-33.0153,27.9116,63.25,67,89,13.06
131,Longyearbyen,SJ,2022-06-04 22:51:16,78.2186,15.6401,34.12,92,84,6.49
132,Turukhansk,RU,2022-06-04 22:51:17,65.8167,87.9833,40.44,78,100,7.45
133,Mana,GF,2022-06-04 22:51:17,5.6592,-53.7767,77.18,90,83,8.14
134,Lavrentiya,RU,2022-06-04 22:51:17,65.5833,-171.0,42.75,76,72,8.72
135,Urusha,RU,2022-06-04 22:51:18,54.05,122.9,61.74,63,72,3.42
136,Nalut,LY,2022-06-04 22:51:19,30.3333,10.85,79.97,22,0,13.62
137,Port Hawkesbury,CA,2022-06-04 22:52:19,45.6169,-61.3485,55.58,82,0,9.22
138,Dikson,RU,2022-06-04 22:52:20,73.5069,80.5464,29.3,96,99,8.08
139,Dong Hoi,VN,2022-06-04 22:52:20,17.4833,106.6,81.54,78,83,9.53
140,Katsuura,JP,2022-06-04 22:52:20,35.1333,140.3,69.51,72,100,9.22
141,Nanortalik,GL,2022-06-04 22:52:21,60.1432,-45.2371,44.62,57,52,2.68
142,Gostyn,PL,2022-06-04 22:52:21,51.8825,17.0123,65.05,88,97,6.62
143,Nemuro,JP,2022-06-04 22:52:22,43.3236,145.575,44.73,94,100,20.8
144,Tiznit,MA,2022-06-04 22:52:22,29.5833,-9.5,62.24,77,37,4.12
145,Bandarbeyla,SO,2022-06-04 22:52:23,9.4942,50.8122,78.75,79,15,19.64
146,College,US,2022-06-04 22:52:23,64.8569,-147.8028,77.47,28,75,12.66
147,Nosy Varika,MG,2022-06-04 22:52:23,-20.5833,48.5333,69.21,86,61,2.35
148,Brae,GB,2022-06-04 22:52:24,60.3964,-1.353,49.01,94,41,6.89
149,Thompson,CA,2022-06-04 22:52:24,55.7435,-97.8558,48.36,66,75,5.75
150,Juneau,US,2022-06-04 22:52:25,58.3019,-134.4197,60.8,92,75,23.02
151,Lakatoro,VU,2022-06-04 22:52:25,-16.0999,167.4164,82.24,68,68,14.81
152,Victoria,HK,2022-06-04 22:47:28,22.2855,114.1577,84.96,84,98,11.99
153,Sokoto,NG,2022-06-04 22:51:10,13.0609,5.239,92.64,25,77,7.54
154,Asfi,MA,2022-06-04 22:52:26,32.2994,-9.2372,66.4,79,20,19.3
155,Itaituba,BR,2022-06-04 22:52:26,-4.2761,-55.9836,74.07,96,82,2.46
156,Shingu,JP,2022-06-04 22:52:27,33.7333,135.9833,69.57,81,100,2.46
157,Staszow,PL,2022-06-04 22:52:27,50.5631,21.1659,60.62,98,100,4.68
158,Severo-Kurilsk,RU,2022-06-04 22:52:28,50.6789,156.125,46.33,82,65,4.36
159,Alice Springs,AU,2022-06-04 22:52:28,-23.7,133.8833,54.95,88,100,5.75
160,Emba,KZ,2022-06-04 22:52:29,48.8264,58.1442,65.12,68,14,6.76
161,Georgetown,MY,2022-06-04 22:52:29,5.4112,100.3354,79.95,89,40,5.01
162,Goianapolis,BR,2022-06-04 22:52:09,-16.5106,-49.0239,76.28,53,19,6.31
163,Igurubi,TZ,2022-06-04 22:52:30,-4.0,33.7,67.57,45,77,10.74
164,Sao Filipe,CV,2022-06-04 22:52:30,14.8961,-24.4956,74.57,76,3,6.98
165,Chara,RU,2022-06-04 22:52:30,56.9064,118.2631,61.09,58,77,1.34
166,Iqaluit,CA,2022-06-04 22:52:31,63.7506,-68.5145,49.73,57,20,2.3
167,Sola,VU,2022-06-04 22:52:31,-13.8833,167.55,81.61,66,48,20.4
168,Kaeo,NZ,2022-06-04 22:52:32,-35.1,173.7833,62.8,65,97,8.81
169,Ambon,ID,2022-06-04 22:52:32,-3.6954,128.1814,75.34,100,40,3.44
170,Yumen,CN,2022-06-04 22:52:33,40.2833,97.2,65.41,23,41,5.99
171,Srednekolymsk,RU,2022-06-04 22:52:33,67.45,153.6833,51.49,31,73,10.94
172,Villa Rica,US,2022-06-04 22:52:34,33.7321,-84.9191,86.4,55,27,4.7
173,Garmsar,IR,2022-06-04 22:52:34,35.2182,52.3409,79.77,21,0,4.29
174,Souillac,MU,2022-06-04 22:52:35,-20.5167,57.5167,71.98,78,40,16.11
175,Coquimbo,CL,2022-06-04 22:52:35,-29.9533,-71.3436,56.93,100,75,9.22
176,Jalu,LY,2022-06-04 22:52:35,29.0331,21.5482,81.48,38,0,13.13
177,Paamiut,GL,2022-06-04 22:52:36,61.994,-49.6678,40.17,73,0,8.32
178,Toora-Khem,RU,2022-06-04 22:52:36,52.4675,96.11,44.49,87,96,4.76
179,Bethel,US,2022-06-04 22:52:37,41.3712,-73.414,76.3,52,22,1.01
180,Balkanabat,TM,2022-06-04 22:52:37,39.5108,54.3671,84.69,14,0,12.5
181,Saldanha,ZA,2022-06-04 22:53:38,-33.0117,17.9442,55.45,89,100,11.74
182,Upernavik,GL,2022-06-04 22:53:38,72.7868,-56.1549,31.91,80,4,13.58
183,Gayeri,BF,2022-06-04 22:53:39,12.6497,0.4931,90.93,28,44,7.05
184,Carnarvon,AU,2022-06-04 22:53:39,-24.8667,113.6333,67.5,42,100,13.91
185,Puerto Escondido,MX,2022-06-04 22:53:39,15.85,-97.0667,83.75,72,24,5.86
186,Atotonilco El Grande,MX,2022-06-04 22:53:40,20.2833,-98.6667,72.48,40,28,14.05
187,Doctor Juan Manuel Frutos,PY,2022-06-04 22:53:40,-25.3667,-55.8,60.13,96,80,6.11
188,Nantucket,US,2022-06-04 22:53:41,41.2835,-70.0995,60.91,88,20,11.5
189,Sao Jose Da Coroa Grande,BR,2022-06-04 22:52:14,-8.8978,-35.1478,76.73,81,92,8.66
190,Vao,NC,2022-06-04 22:53:41,-22.6667,167.4833,73.2,69,52,5.21
191,Ashland,US,2022-06-04 22:53:42,40.8167,-82.2665,69.96,45,8,7.7
192,Dong Xoai,VN,2022-06-04 22:53:42,11.5333,106.9167,73.18,96,70,2.33
193,Kloulklubed,PW,2022-06-04 22:53:43,7.0419,134.2556,79.3,70,35,5.99
194,Verkhoyansk,RU,2022-06-04 22:53:43,67.5447,133.385,72.09,35,17,10.98
